ar_u_token,canonical_input,lemma_ar,lemma_norm,pos,root_norm,ar_u_root,features_json,meta_json,created_at,updated_at
e42c0af2fcf56a3873c9893e22b8e602857b8b626dbde67493cbf3e9766bcbaf,قتره|noun,قَتَرَة,قتره,noun,qtr|قتر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""80:41:2""}",2026-01-31 13:11:22,
939123eae2e05cd255f9752bea59658bbcbbd1e0b02d87fd36f7a7a76ee9f066,نسب|noun,نَسَب,نسب,noun,nsb|نسب,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""37:158:5""}",2026-01-31 13:11:22,
5586ae3a381bbe21256373b1fed40db4de05f796aaf19d9e567c3f658056623f,حلايل|noun,حَلَٰٓئِل,حلايل,noun,Hll|حلل,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""4:23:37""}",2026-01-31 13:11:22,
b1d462302373d4666ee7bd994ffe068929f248a5da566ba819074082921f30cb,ليت|noun,لَيْت,ليت,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""69:27:1""}",2026-01-31 13:11:22,
76e673c360f96cf80ce77e0ba9265e8fc2d593d650f4489138f75dd9e1fa93dc,صاحبه|noun,صَٰحِبَة,صاحبه,noun,SHb|صحب,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""70:12:1""}",2026-01-31 13:11:22,
84ef0fa47f26647d7960995d74ca5142df0e66f5462d439fc79dc461877233f7,اسراف|noun,إِسْرَاف,اسراف,noun,srf|سرف,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""3:147:11""}",2026-01-31 13:11:22,
a22c6523438c150bb31d9fef42476985ca247615e5d922952aca347c19cc4f7f,هنالك|noun,هُنَالِك,هنالك,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""18:44:1""}",2026-01-31 13:11:22,
281645f8b0587b1f7786ec3c8b06e732850ade908c80abd133a959abe1a76b7d,رويد|noun,رُوَيْد,رويد,noun,rwd|رود,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""86:17:4""}",2026-01-31 13:11:22,
88b6758b1e3575e174612f1c3d46cd33ba779ed4400aeb7a5c9a0ef3588afbd8,احصنت|noun,أَحْصَنَتْ,احصنت,noun,HSn|حصن,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""21:91:2""}",2026-01-31 13:11:22,
a5f2a262463b314aa18d59fe4d9bcb9a914191766a5f7d77b303edc59e5cc007,اصحاب|noun,أَصْحَٰب,اصحاب,noun,SHb|صحب,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""56:8:1""}",2026-01-31 13:11:22,
