topic_id,topic_en,topic_ur,words_ar_json,synonyms_json,roots_json,roots_ar_json,verses_json,search_keys_norm,created_at,updated_at
E12,women,عورت,"[""أنثى"",""إمرأة"",""نساء"",""نسوة""]","[{""word_ar"":""أُنْثَى"",""word_en"":""Unthaa"",""root"":null,""root_ar"":null},{""word_ar"":""إِمْرَأَة"",""word_en"":""Emra’ah"",""root"":null,""root_ar"":null},{""word_ar"":""نِسَاء"",""word_en"":""Nisaa’a"",""root"":null,""root_ar"":null},{""word_ar"":""نِسْوَة"",""word_en"":""Nisswah"",""root"":null,""root_ar"":null}]",[],[],"[""24:31"",""2:178"",""4:128"",""49:11"",""12:50""]",أنثى إمرأة نساء نسوة,2026-02-12 06:00:33,
E13,"Promise , oath",عہد - وعدہ,"[""وعده"",""وعيد"",""موعدة"",""ميعاد"",""عهد"",""ذمة"",""إصر"",""ميثاق"",""عقود""]","[{""word_ar"":""وَعَدَه"",""word_en"":""Wa’adah"",""root"":null,""root_ar"":null},{""word_ar"":""وَعِيد"",""word_en"":""Waeed"",""root"":null,""root_ar"":null},{""word_ar"":""مَوْعِدَة-مِيعَاد"",""word_en"":""Mawedah-Meehaad"",""root"":null,""root_ar"":null},{""word_ar"":""عَهْد"",""word_en"":""Ahd"",""root"":null,""root_ar"":null},{""word_ar"":""ذِمَّة"",""word_en"":""Thimmah"",""root"":null,""root_ar"":null},{""word_ar"":""إِصْر"",""word_en"":""Essr"",""root"":null,""root_ar"":null},{""word_ar"":""مِيثَاق"",""word_en"":""Meethaaq"",""root"":null,""root_ar"":null},{""word_ar"":""عُقُود"",""word_en"":""Uqood"",""root"":null,""root_ar"":null}]",[],[],"[""14:22"",""50:45"",""8:42"",""3:9"",""17:34"",""2:40"",""9:8"",""7:157"",""2:286"",""4:90"",""113:4"",""5:1"",""4:33""]",وعده وعيد موعدة ميعاد عهد ذمة إصر ميثاق عقود,2026-02-12 06:00:33,
E5,punishment,عزاب – سزا,"[""عذاب"",""عقاب"",""بأس"",""نكير"",""نكال"",""وبال"",""مثلة""]","[{""word_ar"":""عَذَاب"",""word_en"":""Athaab"",""root"":null,""root_ar"":null},{""word_ar"":""عِقَاب"",""word_en"":""Eqaab"",""root"":null,""root_ar"":null},{""word_ar"":""بَأْس"",""word_en"":""Ba’ass"",""root"":null,""root_ar"":null},{""word_ar"":""نَكِير"",""word_en"":""Nakeer"",""root"":null,""root_ar"":null},{""word_ar"":""نَكَال"",""word_en"":""Nakaal"",""root"":null,""root_ar"":null},{""word_ar"":""وَبَال"",""word_en"":""Wabaal"",""root"":null,""root_ar"":null},{""word_ar"":""مَثُلَة"",""word_en"":""Mathulah"",""root"":null,""root_ar"":null}]",[],[],"[""2:10"",""40:5"",""6:43"",""22:44"",""5:38"",""65:4"",""13:6""]",عذاب عقاب بأس نكير نكال وبال مثلة,2026-02-12 06:00:33,
E6,To give punishment,عزاب دینا,"[""عذب"",""نكل""]","[{""word_ar"":""عَذَّبَ"",""word_en"":""Ath’thaba"",""root"":null,""root_ar"":null},{""word_ar"":""نَكَّلَ"",""word_en"":""Nakkala"",""root"":null,""root_ar"":null}]",[],[],"[""59:3"",""4:84"",""18:40"",""67:17"",""15:73"",""2:59"",""7:78"",""28:81""]",عذب نكل,2026-02-12 06:00:33,
E7,Different types of punishments,عزاب کی اقسام,"[""حسبان"",""حاصب"",""صيحة"",""رجفة"",""زجر"",""خسف""]","[{""word_ar"":""حُسْبَان"",""word_en"":""Husbaan"",""root"":null,""root_ar"":null},{""word_ar"":""حَاصِب"",""word_en"":""Haasib"",""root"":null,""root_ar"":null},{""word_ar"":""صَيْحَة"",""word_en"":""Sayhah"",""root"":null,""root_ar"":null},{""word_ar"":""رَجْفَة"",""word_en"":""Rajfah"",""root"":null,""root_ar"":null},{""word_ar"":""زَجْر"",""word_en"":""Zajrr"",""root"":null,""root_ar"":null},{""word_ar"":""خَسْف"",""word_en"":""Khassff"",""root"":null,""root_ar"":null}]",[],[],"[""18:40"",""67:17"",""15:73"",""2:59"",""7:78"",""28:81""]",حسبان حاصب صيحة رجفة زجر خسف,2026-02-12 06:00:33,
HA11,Right of dowry,حق مہر,[],[],[],[],"[""4:4"",""4:25"",""2:237""]",,2026-02-12 06:00:33,
HA14,To be astonished,حیران ہونا,[],[],[],[],"[""6:71"",""2:258"",""21:40"",""50:2""]",,2026-02-12 06:00:33,
HA15,Menstruation,حیض,[],[],[],[],"[""2:222"",""2:228""]",,2026-02-12 06:00:33,
HA2,present,حاضر,[],[],[],[],"[""46:29"",""37:150"",""2:282"",""50:23""]",,2026-02-12 06:00:33,
HA5,"To exceed bounds, transgress",حد سے بڑھنا – زیادتی کرنا,[],[],[],[],"[""18:62"",""7:31"",""38:24"",""2:229"",""2:173"",""18:28"",""33:19"",""4:171"",""18:14""]",,2026-02-12 06:00:33,
HA7,Forbidden,حرام,[],[],[],[],"[""2:275"",""5:42""]",,2026-02-12 06:00:33,
HA8,"Part, portion",حصہ,[],[],[],[],"[""2:260"",""11:114"",""4:176"",""2:200"",""28:77"",""4:85"",""2:73"",""2:36"",""43:63""]",,2026-02-12 06:00:33,
TA1,Strength,Taaqat,"[""طاقة"",""قوة"",""مرة"",""ركن"",""محل""]","[{""word_ar"":""طَاقَة"",""word_en"":""Taaqah"",""root"":null,""root_ar"":null},{""word_ar"":""قُوَّة"",""word_en"":""Qowwah"",""root"":null,""root_ar"":null},{""word_ar"":""مِرَّة"",""word_en"":""Mirrah"",""root"":null,""root_ar"":null},{""word_ar"":""رُكْن"",""word_en"":""Rukn"",""root"":null,""root_ar"":null},{""word_ar"":""مَحْل"",""word_en"":""Mahl"",""root"":null,""root_ar"":null}]",[],[],"[""2:286"",""28:76"",""53:5"",""11:80"",""13:13""]",طاقة قوة مرة ركن محل,2026-02-12 06:00:33,
