id,topic,topic_ur,word_ar,word_en,root,root_ar,ref_surah,ref_ayah,ref
A1,To settle,آباد ہونا,سَكَنَ,Sakana,skn,سكن,,,
A1,To settle,آباد ہونا,تَبَوَّأَ (بوء),Tabaw’wa’a(Baw’a),bwA,بوا,,,
A1,To settle,آباد ہونا,ثَوَى,Tha’waa,vwy,ثوي,,,
A1,To settle,آباد ہونا,بَدَا (بَدُو),Badaa(Badow),bdw,بدو,,,
A1,To settle,آباد ہونا,حَضَرَ,Ha’darr,HDr,حضر,,,
A1,To settle,آباد ہونا,خَلَدَ,Khalad,xld,خلد,,,
A1,To settle,آباد ہونا,عَاشَرَ,Aashara,E$r,عشر,,,
A1,To settle,آباد ہونا,غَنِيَ,Ghaniya,gny,غني,,,
A2,"To cultivate, populate",آباد کرنا,اَسْكَنَ,Asskana,skn,سكن,,,
A2,"To cultivate, populate",آباد کرنا,بَوَّأَ,Baw’wa’a,bwA,بوا,,,
A2,"To cultivate, populate",آباد کرنا,عَمَرَ,Amara,Emr,عمر,,,
A2,"To cultivate, populate",آباد کرنا,آوَى,Aa’waa,Awy,اوي,,,
A3,The Hereafter,آخرت  Also refer to the word قیامت,أَخَّرَتْ,Akh’arat,,,,,
A3,The Hereafter,آخرت  Also refer to the word قیامت,دَارُ الآخِرَة,Daarul’Aakhirah,,,,,
A3,The Hereafter,آخرت  Also refer to the word قیامت,اليَومُ الآخِرْ,Alyawmul’Aakhir,,,,,
A3,The Hereafter,آخرت  Also refer to the word قیامت,دَارُ القَرَارْ,Darul’Qaraar,,,,,
A3,The Hereafter,آخرت  Also refer to the word قیامت,يَومُ البَعْثْ,Yawmul’Ba’a’th,,,,,
A4,"Man, human",آدمی انسان,انْس,Inss,,,,,
A4,"Man, human",آدمی انسان,إِنْسَانْ,In’ssaan,,,,,
A4,"Man, human",آدمی انسان,نَاسْ,Naas,,,,,
A4,"Man, human",آدمی انسان,إِنْسِيَّا,In’seeya,,,,,
A4,"Man, human",آدمی انسان,أَنَاسِي,Anaasee,,,,,
A4,"Man, human",آدمی انسان,آدَمْ,Aadam,,,,,
A4,"Man, human",آدمی انسان,بَشَرْ,Bashar,,,,,
A5,To rest,آرام کرنا,سَكَنَ,Sakana,,,,,
A5,To rest,آرام کرنا,سَبَتَ,Sabata,,,,,
A5,To rest,آرام کرنا,اِرْتَفَقَ,Irr’tafaqa,,,,,
A6,To wish,آرزو کرنا,أَمَلْ,Amal,,,,,
A6,To wish,آرزو کرنا,أُمْنِيَةْ,Um’niyah,,,,,
A6,To wish,آرزو کرنا,وَدَّ,Wadda,,,,,
A7,Barrier,آڑ   Also refer toپردہ     and دیوار,بَرْزَخْ,Barr’zakh,,,,,
A7,Barrier,آڑ   Also refer toپردہ     and دیوار,حِجِرْ,Hijir,,,,,
A7,Barrier,آڑ   Also refer toپردہ     and دیوار,حَجْزْ,Haj’zz,,,,,
A7,Barrier,آڑ   Also refer toپردہ     and دیوار,حَدْ,Hadd,,,,,
A8,Free,آزاد,حُرْ,Hurr,,,,,
A8,Free,آزاد,مُحْصَنْ,Muh’san,,,,,
A8,Free,آزاد,سُدَى,Sudaa,,,,,
A9,To free,آزادکرنا Also refer to رخصت کرنا,حَرَّرَ,Har’rara,,,,,
A9,To free,آزادکرنا Also refer to رخصت کرنا,طَلَّقَ,Tal’laqa,,,,,
A9,To free,آزادکرنا Also refer to رخصت کرنا,سَرَّحَ,Sarraha,,,,,
A10,"To test, Exam",آزمائش کرنا,اَمْتَحَنَ,Im’tahana,,,,,
A10,"To test, Exam",آزمائش کرنا,بَلَىَ- اِبْتَلَىَ,Balaa-Ib’talaa,,,,,
A10,"To test, Exam",آزمائش کرنا,فَتَنَ,Fatana,,,,,
A11,Easy,آسان,يَسِير,Yaseer,,,,,
A11,Easy,آسان,هَيِّنْ,Hayyin,,,,,
A12,heaven,آسمان,سَمَاء,Samaa’a,,,,,
A12,heaven,آسمان,فَلَكْ,Falak,,,,,
A13,To haunt,آسیب زدہ کرنا,تَخَبَّطَ,Takhab’bata,,,,,
A13,To haunt,آسیب زدہ کرنا,اِعْتَرَىَ(عرو),Ee’taraa(Aroo),,,,,
A14,Fire,آگ,نَارْ,Naar,,,,,
A14,Fire,آگ,لَظَىَ,Lathaa,,,,,
A15,"Live coal, cinder",آگ کا انگارہ,شِهَابْ,Shihaab,,,,,
A15,"Live coal, cinder",آگ کا انگارہ,جَذْوَة,Jath’wah,,,,,
A15,"Live coal, cinder",آگ کا انگارہ,قَبَسْ,Qaba’ss,,,,,
A16,"The burning of fire, to lit fire",آگ جلنا جلانا,قَدَحْ,Qadah,,,,,
A16,"The burning of fire, to lit fire",آگ جلنا جلانا,اوَرى(ورى),Aw’raa(Waraa),,,,,
A16,"The burning of fire, to lit fire",آگ جلنا جلانا,أَوْقَدَ-اِسْتَوْقَدَ,Aw’qada-Iss’taw’qada,,,,,
A16,"The burning of fire, to lit fire",آگ جلنا جلانا,قَبَسَ,Qabass,,,,,
A16,"The burning of fire, to lit fire",آگ جلنا جلانا,سَعَّرَ,Sa’a’ara,,,,,
A16,"The burning of fire, to lit fire",آگ جلنا جلانا,سَجَّرَ,Saj’jara,,,,,
A16,"The burning of fire, to lit fire",آگ جلنا جلانا,تَلَظَّىَ,Talath’thaa,,,,,
A17,The fire’s burning something,آگ کا دوسری چیزوں  کو جلانا,لَوَّحَ,Law’waha,,,,,
A17,The fire’s burning something,آگ کا دوسری چیزوں  کو جلانا,لَفَحَ,Lafaha,,,,,
A17,The fire’s burning something,آگ کا دوسری چیزوں  کو جلانا,شَوَى,Sha’waa,,,,,
A17,The fire’s burning something,آگ کا دوسری چیزوں  کو جلانا,صَهَرَ,Sahar,,,,,
A17,The fire’s burning something,آگ کا دوسری چیزوں  کو جلانا,نَفَحَ,Nafaj,,,,,
A17,The fire’s burning something,آگ کا دوسری چیزوں  کو جلانا,حَرَّقَ-اِحْتَرَقَ,Har’raqa-Ih’taraqa,,,,,
A18,"To be extinguished, to extinguish",بجھنا بجھانا,خَمَدَ,Khamada,,,,,
A18,"To be extinguished, to extinguish",بجھنا بجھانا,خَبَا(خبو),Khabaa(khaboo),,,,,
A18,"To be extinguished, to extinguish",بجھنا بجھانا,طَفَأَ,Tafa’a,,,,,
A19,To be aware,آگاہ ہونا,شَعَرَ,Sha’a’ra,,,,,
A19,To be aware,آگاہ ہونا,ظَهَرَ,Tha’ha’ra,,,,,
A19,To be aware,آگاہ ہونا,عَثَرَ,A’thara,,,,,
A19,To be aware,آگاہ ہونا,عَلِمَ,A’lima,,,,,
A19,To be aware,آگاہ ہونا,خَبَرَ,Khabara,,,,,
A20,"To inform, show",آگاہ کرنا بتلانا,اَشْعَرَ,Ash’a’ra,,,,,
A20,"To inform, show",آگاہ کرنا بتلانا,اَظْهَرَ,Ath’hara,,,,,
A20,"To inform, show",آگاہ کرنا بتلانا,عَلَّمَ,Allama,,,,,
A20,"To inform, show",آگاہ کرنا بتلانا,اَدْرى,Ad’raa,,,,,
A20,"To inform, show",آگاہ کرنا بتلانا,حَدَّثَ,Had’datha,,,,,
A20,"To inform, show",آگاہ کرنا بتلانا,عَرَّفَ,Arrafa,,,,,
A20,"To inform, show",آگاہ کرنا بتلانا,اَطْلَعَ,At’la’a,,,,,
A20,"To inform, show",آگاہ کرنا بتلانا,نَبَّأَ,Nab’ba’a,,,,,
A20,"To inform, show",آگاہ کرنا بتلانا,دَلَّ,Dal’la,,,,,
A21,"In front,",آگے سامنے,قُبُلْ-قبِل,Qubul-Qabil,,,,,
A21,"In front,",آگے سامنے,بَينَ يَدَي,Bayna Yadayy,,,,,
A22,"To come forward, to go forward",آگے آنا بڑھنا,,,,,,,
A23,To send forward,آگے بیھجنا,قَدَّمَ,Qaddama,,,,,
A23,To send forward,آگے بیھجنا,اَسْلَفَ,Asslafa,,,,,
A24,"Arms, weapons, armour",آلات جنگ,أَسْلِحَةْ,Asslihah,,,,,
A24,"Arms, weapons, armour",آلات جنگ,أَوْزَار,Aw’zaar,,,,,
A24,"Arms, weapons, armour",آلات جنگ,حِذْر,Hithir,,,,,
A24,"Arms, weapons, armour",آلات جنگ,شَوكَة,Shawkah,,,,,
A25,To come,آنا,جَاءَ,Jaa’a,,,,,
A25,To come,آنا,أَتَى,Ataa,,,,,
A25,To come,آنا,هَيْتَ,Hayta,,,,,
A25,To come,آنا,هَلُمَّ,Halumma,,,,,
A25,To come,آنا,تَعَال,Ta’aal,,,,,
A26,Eyes,آنکھ,عَين,Ayn,,,,,
A26,Eyes,آنکھ,عِين,Eeen,,,,,
A26,Eyes,آنکھ,حُورْ,Hoor,,,,,
A26,Eyes,آنکھ,بَصَرْ,Basar,,,,,
A27,To wander vagrancy,آوارہ پھرنا,تَاهَ(تِيه),Taah(Teeh),,,,,
A27,To wander vagrancy,آوارہ پھرنا,هَامَ(هَيمْ),Haam(Haym),,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,صَوتْ,Sawt,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,صَدّ,Sadd,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,صَرِيخْ,Sareekh,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,هَمْس,Hamss,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,حَسِيسْ,Hasees,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,مُكَاء,Mukaa’a,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,تَصْدِيَة,Tass’diyah,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,ضَبَحَ,Dabah,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,خُوارْ,Khowaar,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,شَهِيقْ,Sha’heeq,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,زَفِيرْ,Za’feer,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,لَهث,Lah’th,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,رِكْز,rikz,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,صَيْحَة,Say’hah,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,صَاخَّة,Saakh’khah,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,تَغَيُّظ,Ta’ghayyuz,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,هَدّ,Hadda,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,غَلَى,Ghalaa,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,صِلْصَالْ,Sil’saal,,,,,
A28,Noise and its kind,آواز اور اسکی اقسام,قَارِعَة,Qaari’ah,,,,,
A29,To do something slowly,آہستہ آہستہ [کرنا],رُوَيْد,Ruwayd,,,,,
A29,To do something slowly,آہستہ آہستہ [کرنا],رُخَاء,Rukhaa’a,,,,,
A29,To do something slowly,آہستہ آہستہ [کرنا],عُرْف,Urff,,,,,
A29,To do something slowly,آہستہ آہستہ [کرنا],يُسْر,Yussr,,,,,
