
ar_u_grammar,canonical_input,grammar_id,category,title,title_ar,definition,definition_ar,meta_json
,grammar|IRAB,IRAB,syntax,Inflection (Iʿrāb),إعراب,Variation of word endings according to grammatical factors.,تغيّر أواخر الكلمات بحسب العوامل.,
,grammar|RAF,RAF,case,Rafʿ state,مرفوع,Nominative state of nouns or verbs.,حالة الرفع للاسم أو الفعل.,
,grammar|NASB,NASB,case,Naṣb state,منصوب,Accusative state of nouns or verbs.,حالة النصب للاسم أو الفعل.,
,grammar|JARR,JARR,case,Jarr state,مجرور,Genitive state of nouns.,حالة الجر للاسم.,
,grammar|JAZM,JAZM,case,Jazm state,مجزوم,Jussive mood of present verbs.,حالة الجزم للفعل المضارع.,
,grammar|MUBTADA,MUBTADA,syntax_role,Subject of nominal sentence,المبتدأ,The subject or topic at the beginning of a nominal sentence.,الاسم الذي تبدأ به الجملة الاسمية.,
,grammar|KHABAR,KHABAR,syntax_role,Predicate of nominal sentence,الخبر,The predicate completing a nominal sentence.,ما يتمم معنى المبتدأ في الجملة الاسمية.,
,grammar|HAL,HAL,syntax_role,Circumstantial accusative,الحال,"A word describing the state during an action, generally indefinite and in the accusative.",اسم نكرة يبين هيئة صاحبه أثناء وقوع الفعل ويكون منصوباً.,
,grammar|TAMYIZ,TAMYIZ,syntax_role,Clarifier (tamyīz),التمييز,An indefinite accusative noun clarifying ambiguity in a preceding word or phrase.,اسم نكرة منصوب يوضح الغموض في كلمة أو جملة سابقة.,
,grammar|JAWAB_ALSHART,JAWAB_ALSHART,syntax_role,Apodosis of conditional sentence,جواب الشرط,The clause that expresses the result or response to a conditional clause.,الجملة التي تجيب على الجملة الشرطية وتبين نتيجتها.,
,grammar|JUMALA_ISMIYYA,JUMALA_ISMIYYA,syntax,Nominal sentence,جملة اسمية,Sentence whose core is a noun or pronoun rather than a verb.,جملة يكون الركن الأساس فيها اسماً أو ضميراً وليس فعلاً.,
,grammar|JUMALA_FIʿLIYYA,JUMALA_FIʿLIYYA,syntax,Verbal sentence,جملة فعلية,Sentence beginning with a verb.,جملة تبدأ بفعل.,
,grammar|JUMALA_SHARTIYYA,JUMALA_SHARTIYYA,syntax,Conditional sentence,الجملة الشرطية,Sentence constructed from a condition and a response.,جملة تتألف من جملة شرط وجملة جواب.,
,grammar|SHIBH_JUMLA,SHIBH_JUMLA,syntax,Phrase functioning like a sentence,شبه الجملة,Prepositional or adverbial phrase used like part of a sentence.,تركيب جار ومجرور أو ظرف يقوم مقام جزء من الجملة.,
,grammar|IDHAF A,IDAFA,syntax,Possession construction (iḍāfa),الإضافة,Construction of two nouns indicating possession or specification.,تركيب من اسمين يدل على الملكية أو التخصيص.,
,grammar|MUDAF,MUDAF,syntax_role,First term of iḍāfa,المضاف,The first noun in a genitive construct (possessed).,الاسم الأول في تركيب الإضافة وهو المضاف.,
,grammar|MUDAF_ILAYH,MUDAF_ILAYH,syntax_role,Second term of iḍāfa,المضاف إليه,The second noun in a genitive construct (possessor).,الاسم الثاني في تركيب الإضافة وهو الذي يُضاف إليه.,
,grammar|MURAKKAB,MURAKKAB,syntax,Compound construction,مركب,A phrase composed of two or more words forming one unit.,عبارة عن كلمتين أو أكثر تؤلف وحدة تركيبية.,
,grammar|MURAKKAB_IDAFI,MURAKKAB_IDAFI,syntax,Iḍāfa compound,مركب إضافي,Compound based on possession or genitive relation.,مركب يقوم على علاقة الإضافة بين كلمتين.,
,grammar|MURAKKAB_TAWSIFI,MURAKKAB_TAWSIFI,syntax,Descriptive compound,مركب توصيفي,Compound where one word describes another (noun + adjective).,تركيب يتكون من اسم وصفة تصف هذا الاسم.,
,grammar|HARF,HARF,particles,Particle,حرف,Word that conveys meaning only with other words and lacks case markers.,كلمة تدل على معنى مع غيرها ولا تظهر فيها علامات الإعراب.,
,grammar|HARF_AMIL,HARF_AMIL,particles,Governing particle,حرف عامل,Particle that affects the case or mood of subsequent words.,حرف يغير حركة ما بعده من الأسماء أو الأفعال.,
,grammar|HARF_GHAYR_AMIL,HARF_GHAYR_AMIL,particles,Non-governing particle,حرف غير عامل,Particle that does not change the case or mood of what follows.,حرف لا يؤثر في إعراب ما بعده.,
,grammar|HURUF_JARR,HURUF_JARR,particles,Prepositions,حروف الجر,Particles that cause nouns after them to take the genitive case.,حروف تجر الاسم الواقع بعدها.,
,grammar|HARF_ATF,HARF_ATF,particles,Conjunction particle,حرف العطف,Particle used to connect words or sentences.,حرف يربط بين الكلمات أو الجمل.,
,grammar|HARF_ZAIDA,HARF_ZAIDA,particles,Redundant particle,حرف زائد,"Particle inserted for emphasis or structure, not essential to meaning.",حرف يزاد لتأكيد أو لضرورة تركيبية ولا يغير المعنى.,
,grammar|ADAT_SHART,ADAT_SHART,particles,Conditional particle,أداة الشرط,Particle introducing a conditional clause.,حرف أو أداة تدخل على جملة الشرط.,
,grammar|IN_SHARTIYYA,IN_SHARTIYYA,particles,Conditional “in”,إن الشرطية,The particle “in” used to introduce a condition.,"حرف الشرط ""إن"" الذي يفتتح جملة شرطية.",
,grammar|MA_SHARTIYYA,MA_SHARTIYYA,particles,Conditional “mā”,ما الشرطية,Pronoun “mā” used conditionally to mean “whatever”.,"ضمير شرط يعني ""ما"" للدلالة على أي شيء.",
,grammar|MAN_SHARTIYYA,MAN_SHARTIYYA,particles,Conditional “man”,من الشرطية,Pronoun “man” used conditionally to mean “whoever”.,"ضمير شرط يعني ""من"" للدلالة على من أو ما سيقوم بالفعل.",
,grammar|HARF_ISTIFHAM,HARF_ISTIFHAM,particles,Interrogative particle,حرف الاستفهام,Particle used to introduce a question.,حرف يستفهم به عن أمر.,
,grammar|ISTIFHAM,ISTIFHAM,discourse,Interrogation,الاستفهام,The act of asking a question; interrogative sentence.,طلب معرفة شيء بسؤال.,
,grammar|HARF_ISTIDRAK,HARF_ISTIDRAK,particles,Rebuttal particle,حرف الاستدراك,"Particle indicating rebuttal or contrast (e.g., “but”).","حرف يدل على الاستدراك أو المعاوضة مثل ""لكن"".",
,grammar|HARF_IʿRAD,HARF_IʿRAD,particles,Particle of turning away,حرف إعراض,"Particle expressing turning away or contrast (e.g., “bal”).","حرف يدل على الإعراض أو الاستدراك مثل ""بل"".",
,grammar|HARF_TAHQIQ,HARF_TAHQIQ,particles,Particle of affirmation,حرف التحقيق,Particle used for verifying or emphasising truth.,حرف يؤكد صدق الكلام ويحققه.,
,grammar|HARF_TAWKID,HARF_TAWKID,particles,Particle of emphasis,حرف التوكيد,Particle used to emphasise a statement.,حرف يرد للتأكيد على الكلام.,
,grammar|HARF_TANBIH,HARF_TANBIH,particles,Particle of alert,حرف التنبيه,Particle to alert or draw attention.,حرف يلفت الانتباه.,
,grammar|HARF_TAHDID,HARF_TAHDID,particles,Particle of encouragement,حرف التحضيض,"Particle used to encourage or urge (e.g., “hallā”).","حرف يحث على الفعل مثل ""هلا"".",
,grammar|HARF_TAFSIR,HARF_TAFSIR,particles,Particle of explanation,حرف تفسير,"Particle introducing an explanatory clause (e.g., “ay”).","حرف يفسر ما قبله مثل ""أي"".",
,grammar|ADAT_ISTITHNA,ADAT_ISTITHNA,particles,Exception particle,أداة الاستثناء,"Particle used to make exceptions (e.g., “illā”).","أداة تستعمل لإخراج شيء من حكم ما قبلها مثل ""إلا"".",
