
canonical_input,grammar_id,category,title,title_ar,definition,definition_ar,meta_json
grammar|WORD,WORD,classification,Word,كلمة,"The basic linguistic unit; Arabic words are classified into nouns (ism), verbs (fi'l), and particles (harf)",الوحدة اللغوية الأساسية؛ الكلمات في العربية تنقسم إلى اسم وفعل وحرف,{}
grammar|NOUN,NOUN,word_type,Noun (Ism),اسم,"A noun (ism) denotes a person, place, thing, idea, adjective, adverb or special mudāf in Arabic grammar",الاسم يدل على شخص أو مكان أو شيء أو فكرة أو صفة أو ظرف أو مُضاف خاص,"{""parent"": ""WORD""}"
grammar|VERB,VERB,word_type,Verb (Fi'l),فعل,A verb (fi'l) expresses an action or occurrence associated with a time,الفعل يدل على حدث مقترن بزمن,"{""parent"": ""WORD""}"
grammar|PARTICLE,PARTICLE,word_type,Particle (Harf),حرف,A particle has meaning only when combined with other words; it does not stand alone,الحرف لا معنى له إلا مع غيره ولا يستقل بذاته,"{""parent"": ""WORD""}"
grammar|SENTENCE,SENTENCE,classification,Sentence,جملة,A combination of words forming a complete thought; Arabic sentences are either nominal or verbal,مجموعة كلمات تكوِّن معنى كاملاً؛ الجملة في العربية اسمية أو فعلية,{}
grammar|NOMINAL_SENTENCE,NOMINAL_SENTENCE,sentence_type,Nominal sentence,جملة اسمية,A sentence that begins with a noun and consists of a subject (mubtada) and a predicate (khabar),جملة تبدأ باسم وتتكون من مبتدأ وخبر,"{""parent"": ""SENTENCE""}"
grammar|VERBAL_SENTENCE,VERBAL_SENTENCE,sentence_type,Verbal sentence,جملة فعلية,"A sentence that begins with a verb and contains the verb, its subject and possibly objects and complements",جملة تبدأ بفعل وتحتوي على الفعل وفاعله وقد تتضمن مفعولات وتفاصيل أخرى,"{""parent"": ""SENTENCE""}"
grammar|FRAGMENT,FRAGMENT,classification,Fragment,تركيب,"A phrase or fragment that contains fewer than the full components of a sentence, such as possessive, prepositional or adjectival phrases",عبارة أو تركيب لا يكتمل بمعنى الجملة الكاملة مثل التراكيب الإضافية أو الجار والمجرور أو الصفة والموصوف,{}
grammar|IDAFA_FRAGMENT,IDAFA_FRAGMENT,fragment_type,Idāfa phrase,إضافة,A possessive construction joining two nouns; the first noun (mudāf) has no tanween or al- and the second noun (mudāf ilayh) is in the genitive case,تركيب ملكية يربط بين اسمين؛ المضاف بلا تنوين ولا أل والمضاف إليه في حالة الجر,"{""parent"": ""FRAGMENT""}"
grammar|MUDAF_ROLE,MUDAF_ROLE,fragment_role,Mudāf,المضاف,The first noun in an idāfa construction; it is possessed and becomes definite if the mudāf ilayh is definite,الاسم الأول في الإضافة؛ يدل على المملوك ويصبح معرفاً إذا كان المضاف إليه معرفاً,"{""parent"": ""IDAFA_FRAGMENT""}"
grammar|MUDAF_ILAYH_ROLE,MUDAF_ILAYH_ROLE,fragment_role,Mudāf ilayh,المضاف إليه,The second noun in an idāfa construction; always takes the genitive case and determines the definiteness of the mudāf,الاسم الثاني في الإضافة؛ يأتي مجروراً ويحدد تعريف المضاف,"{""parent"": ""IDAFA_FRAGMENT""}"
grammar|JAR_MAJRUR_FRAGMENT,JAR_MAJRUR_FRAGMENT,fragment_type,Prepositional phrase (jar–majrūr),جار ومجرور,A phrase consisting of a preposition (harf jarr) and the noun it governs; the noun becomes genitive and the phrase must attach to a verb or predicate,عبارة تتكون من حرف جر والاسم التابع له؛ الاسم يكون في حالة الجر ويتعلق بالفعل أو الخبر,"{""parent"": ""FRAGMENT""}"
grammar|HARF_NASB_FRAGMENT,HARF_NASB_FRAGMENT,fragment_type,Harf nasb phrase,حرف نصب واسمها,A phrase containing a particle of nasb (harf nasb) that causes the following noun to be in the accusative case; intervening phrases such as prepositional phrases or special mudāf may occur,تركيب يحتوي على حرف نصب يجعل الاسم بعده في حالة النصب؛ قد يتخلل التركيب جار ومجرور أو مضاف خاص,"{""parent"": ""FRAGMENT""}"
grammar|MAWSOOF_SIFA_FRAGMENT,MAWSOOF_SIFA_FRAGMENT,fragment_type,Mawsoof–Sifa phrase,موصوف وصفة,"A noun–adjective phrase where the adjective (sifa) follows the noun (mawsoof) and agrees with it in status, number, gender and definiteness",تركيب اسم وصفة، تتبع الصفة الموصوف وتطابقه في الإعراب والعدد والجنس والتعريف,"{""parent"": ""FRAGMENT""}"
grammar|MAWSOOF,MAWSOOF,fragment_role,Mawsoof (described noun),الموصوف,"The noun being described in a mawsoof–sifa phrase; it must precede the adjective and cannot be a pronoun, demonstrative or relative pronoun",الاسم الذي يوصَف في تركيب الموصوف والصفة؛ يأتي قبل الصفة ولا يكون ضميراً أو اسم إشارة أو اسم موصول,"{""parent"": ""MAWSOOF_SIFA_FRAGMENT""}"
grammar|SIFA_ADJ,SIFA_ADJ,fragment_role,Sifa (adjective),صفة,"The adjective in a mawsoof–sifa phrase; it matches the mawsoof in status, number, gender and definiteness",الصفة في تركيب الموصوف والصفة؛ تطابق الموصوف في الإعراب والعدد والجنس والتعريف,"{""parent"": ""MAWSOOF_SIFA_FRAGMENT""}"
grammar|DEMONSTRATIVE_PHRASE,DEMONSTRATIVE_PHRASE,fragment_type,Demonstrative phrase,اسم إشارة ومشار إليه,"A phrase consisting of a demonstrative pronoun (ism ishara) and the noun being pointed to (mushar ilayh); the demonstrative matches the noun in number, gender and definiteness",تركيب يتألف من اسم إشارة والاسم المشار إليه؛ يطابق اسم الإشارة الاسم المشار إليه في العدد والجنس والتعريف,"{""parent"": ""FRAGMENT""}"
grammar|ISM_ISHARA,ISM_ISHARA,fragment_role,Ism Ishara,اسم الإشارة,A demonstrative pronoun used to point to something in a demonstrative phrase,ضمير إشارة يُستخدم للإشارة إلى شيء في تركيب اسم الإشارة,"{""parent"": ""DEMONSTRATIVE_PHRASE""}"
grammar|MUSHAR_ILAYH,MUSHAR_ILAYH,fragment_role,Mushar Ilayh,المشار إليه,The noun being pointed to by a demonstrative pronoun in a demonstrative phrase; typically has the definite article and dictates the agreement of the demonstrative,الاسم الذي يُشار إليه في تركيب اسم الإشارة؛ غالباً ما يكون معرفاً ويحدد موافقة اسم الإشارة,"{""parent"": ""DEMONSTRATIVE_PHRASE""}"
grammar|MUTAALQ_BIL_KHABAR,MUTAALQ_BIL_KHABAR,sentence_part,Attachment to predicate,متعلق بالخبر,A phrase (prepositional or adverbial) that attaches to the predicate in a nominal sentence; often a jar–majrūr or special mudāf,عبارة (جار ومجرور أو مضاف خاص) ترتبط بالخبر في الجملة الاسمية ولا تُعد جزءاً منه,"{""parent"": ""NOMINAL_SENTENCE""}"
grammar|MUTAALQ_BIL_FIIL,MUTAALQ_BIL_FIIL,sentence_part,Attachment to verb,متعلق بالفعل,"A phrase attached to the verb in a verbal sentence to indicate circumstances like place, time or manner; often a prepositional phrase",عبارة ترتبط بالفعل في الجملة الفعلية لتوضيح المكان أو الزمان أو الكيفية؛ غالباً ما تكون جاراً ومجروراً أو ظرفاً,"{""parent"": ""VERBAL_SENTENCE""}"
grammar|STATUS_PROPERTY,STATUS_PROPERTY,noun_property,Status (I'rāb),الإعراب,"The grammatical case or state of a noun indicated by changes at the end of the word; the basic states are rafʿ (nominative), naṣb (accusative) and jarr (genitive)",الحالة النحوية للاسم التي يدل عليها التغيير في آخر الكلمة؛ الحالات الأساسية هي الرفع والنصب والجر,"{""parent"": ""NOUN""}"
grammar|HEAVY_ISM,HEAVY_ISM,noun_property,Heavy noun,اسم ثقيل,A noun that retains the extra “n” sound (tanween or nūn) at the end by default; a noun is heavy until it is made light or definite,اسم يحمل التنوين أو حرف النون في آخره بشكل افتراضي؛ الاسم يكون ثقيلاً حتى يُخفَّف أو يُعرَّف,"{""parent"": ""STATUS_PROPERTY""}"
grammar|LIGHT_ISM,LIGHT_ISM,noun_property,Light noun,اسم خفيف,"A noun that has its final tanween or extra n removed for reasons such as being mudāf, vocative, partially flexible or following a categorical negation",اسم يُحذف منه التنوين أو النون الزائدة لأسباب مثل كونه مضافاً أو منادى أو غير منصرف أو بعد لا النافية للجنس,"{""parent"": ""STATUS_PROPERTY""}"
grammar|IRRELEVANT_STATUS,IRRELEVANT_STATUS,noun_property,Irrelevant status,حالة غير معتبرة,"When a noun begins with the definite article al-, we do not classify it as heavy or light; the article relates to definiteness rather than status",إذا بدأ الاسم بأل التعريف فلا يُصنَّف إلى ثقيل أو خفيف؛ لأن أل تتعلق بالتعريف لا بالثقل,"{""parent"": ""STATUS_PROPERTY""}"
grammar|FLEXIBILITY_PROPERTY,FLEXIBILITY_PROPERTY,noun_property,Flexibility,المرونة,"The ability of a noun to change its ending according to grammatical case; nouns may be fully flexible, non-flexible or partially flexible",قدرة الاسم على تغيير آخره وفق الحالات الإعرابية؛ الأسماء قد تكون معربة أو مبنية أو غير منصرفة,"{""parent"": ""NOUN""}"
grammar|FULLY_FLEXIBLE,FULLY_FLEXIBLE,noun_property,Fully flexible noun,اسم معرب (منصرف),"A noun whose ending changes in all three grammatical cases; common nouns show tanween endings in rafʿ, naṣb and jarr",اسم يتغير آخره في الحالات الثلاث ويأخذ التنوين في الرفع والنصب والجر إذا كان نكرة,"{""parent"": ""FLEXIBILITY_PROPERTY""}"
grammar|NON_FLEXIBLE,NON_FLEXIBLE,noun_property,Non-flexible noun,اسم مبني,A noun whose form does not change; it carries a single form for all cases and its status is understood from context; includes pronouns and demonstratives,اسم لا يتغير آخره ويحمل شكلاً واحداً في جميع الحالات؛ تُعرف حالته من السياق ويشمل الضمائر وأسماء الإشارة,"{""parent"": ""FLEXIBILITY_PROPERTY""}"
