ar_u_root,canonical_input,root,root_norm,arabic_trilateral,english_trilateral,root_latn,alt_latn_json,search_keys_norm,status,difficulty,frequency,created_at,updated_at,extracted_at,meta_json
343e496ae7316b7943d741591324acd560724ecae1b4d3ce8d2e19a6101c6fdb,root|*rw,ذرو,*rw,ذ   ر   و,*-r-w,*rw,"[""*-r-w"", ""*-R-W"", ""*rw"", ""*RW""]",ذرو *rw *-r-w ذ   ر   و,active,,,2026-01-23T06:07:09.294723,,,"{""family"":""quran"",""root_copy"":""ذرو"",""letter_breakdown"":""ذ   ر   و"",""legacy_word_count"":3,""legacy_occurrence_count"":3,""legacy_row_id"":28,""romanization_sources"":{""original"":""*rw""}}"
525761f24e9bc62a7e4fe81d49b5923a43f130ef653379d304000f71547b4748,root|e*r,عذر,E*r,ع ذ ر,e-*-r,E*r,"[""e-*-r"", ""E-*-R"", ""e*r"", ""E*R""]",عذر e*r e-*-r ع ذ ر,active,,,2026-01-23T06:07:09.295586,,,"{""family"":""quran"",""root_copy"":""عذر"",""letter_breakdown"":""ع ذ ر"",""legacy_word_count"":12,""legacy_occurrence_count"":8,""legacy_row_id"":105,""romanization_sources"":{""original"":""E*r""}}"
5bbd9ed2713db4dd9c59ec824b264ec28c9d9bd075b2b99ed49696f9433de383,root|nb*,نبذ,nb*,ن ب ذ,n-b-*,nb*,"[""n-b-*"", ""N-B-*"", ""nb*"", ""NB*""]",نبذ nb* n-b-* ن ب ذ,active,,,2026-01-23T06:07:09.295972,,,"{""family"":""quran"",""root_copy"":""نبذ"",""letter_breakdown"":""ن ب ذ"",""legacy_word_count"":12,""legacy_occurrence_count"":11,""legacy_row_id"":140,""romanization_sources"":{""original"":""nb*""}}"
53969fa60517baf2db6836433b67a6de61d17f2d27a4d8c81c335a515e8c8e62,root|*en,ذعن,*En,ذ ع ن,*-e-n,*En,"[""*-e-n"", ""*-E-N"", ""*en"", ""*EN""]",ذعن *en *-e-n ذ ع ن,active,,,2026-01-23T06:07:09.296377,,,"{""family"":""quran"",""root_copy"":""ذعن"",""letter_breakdown"":""ذ ع ن"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":176,""romanization_sources"":{""original"":""*En""}}"
b857450e3879bce82018e90277de5563673916de6fcb06816a748daf35558616,root|b*r,بذر,b*r,ب ذ ر,b-*-r,b*r,"[""b-*-r"", ""B-*-R"", ""b*r"", ""B*R""]",بذر b*r b-*-r ب ذ ر,active,,,2026-01-23T06:07:09.296507,,,"{""family"":""quran"",""root_copy"":""بذر"",""letter_breakdown"":""ب ذ ر"",""legacy_word_count"":3,""legacy_occurrence_count"":3,""legacy_row_id"":188,""romanization_sources"":{""original"":""b*r""}}"
52973ecfebb46289e6e035ffaac6f7ead8279c00ea8542251a42fc881159f918,root|e*b,عذب,E*b,ع ذ ب,e-*-b,E*b,"[""e-*-b"", ""E-*-B"", ""e*b"", ""E*B""]",عذب e*b e-*-b ع ذ ب,active,,,2026-01-23T06:07:09.296838,,,"{""family"":""quran"",""root_copy"":""عذب"",""letter_breakdown"":""ع ذ ب"",""legacy_word_count"":373,""legacy_occurrence_count"":44,""legacy_row_id"":216,""romanization_sources"":{""original"":""E*b""}}"
debb1b67c0f897c1f7dce00d1a3997cc603db82715aa42c4db2a4311bb57b3b5,root|lw*,لوذ,lw*,ل   و   ذ,l-w-*,lw*,"[""l-w-*"", ""L-W-*"", ""lw*"", ""LW*""]",لوذ lw* l-w-* ل   و   ذ,active,,,2026-01-23T06:07:09.297119,,,"{""family"":""quran"",""root_copy"":""لوذ"",""letter_breakdown"":""ل   و   ذ"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":241,""romanization_sources"":{""original"":""lw*""}}"
04df18cecd388e5903dfa42a1c384b065276f58220973282de6a0ef380f9a6dc,root|h*r,حذر,H*r,ح ذ ر,h-*-r,H*r,"[""h-*-r"", ""H-*-R"", ""h*r"", ""H*R""]",حذر h*r h-*-r ح ذ ر,active,,,2026-01-23T06:07:09.297206,,,"{""family"":""quran"",""root_copy"":""حذر"",""letter_breakdown"":""ح ذ ر"",""legacy_word_count"":21,""legacy_occurrence_count"":16,""legacy_row_id"":249,""romanization_sources"":{""original"":""H*r""}}"
57224c5f2e1f75e262c11bddefb72d1732b40d7ac92b01414bfb45126dae7443,root|a*n,اذن,A*n,ا ذ ن,a-*-n,A*n,"[""a-*-n"", ""A-*-N"", ""a*n"", ""A*N""]",اذن a*n a-*-n ا ذ ن,active,,,2026-01-23T06:07:09.297387,,,"{""family"":""quran"",""root_copy"":""اذن"",""letter_breakdown"":""ا ذ ن"",""legacy_word_count"":102,""legacy_occurrence_count"":36,""legacy_row_id"":261,""romanization_sources"":{""original"":""A*n""}}"
8542f1c6e7743f420bdbe063d781fc47db42973af33e4567d36356f46a21b01a,root|*am,ذام,*Am,ذ   ا   م,*-a-m,*Am,"[""*-a-m"", ""*-A-M"", ""*am"", ""*AM""]",ذام *am *-a-m ذ   ا   م,active,,,2026-01-23T06:07:09.298106,,,"{""family"":""quran"",""root_copy"":""ذام"",""letter_breakdown"":""ذ   ا   م"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":320,""romanization_sources"":{""original"":""*Am""}}"
84344430fadae6f9c61e2b1f80b1d7d899a01ea18a5ffb23119bc98e07a5dd6f,root|*ll,ذلل,*ll,ذ   ل   ل,*-l-l,*ll,"[""*-l-l"", ""*-L-L"", ""*ll"", ""*LL""]",ذلل *ll *-l-l ذ   ل   ل,active,,,2026-01-23T06:07:09.298280,,,"{""family"":""quran"",""root_copy"":""ذلل"",""letter_breakdown"":""ذ   ل   ل"",""legacy_word_count"":24,""legacy_occurrence_count"":15,""legacy_row_id"":336,""romanization_sources"":{""original"":""*ll""}}"
fbfdbe7786fa109d53799cd8072a041bbc29454215813078e7f7438163870ece,root|k*b,كذب,k*b,ك ذ ب,k-*-b,k*b,"[""k-*-b"", ""K-*-B"", ""k*b"", ""K*B""]",كذب k*b k-*-b ك ذ ب,active,,,2026-01-23T06:07:09.299086,,,"{""family"":""quran"",""root_copy"":""كذب"",""letter_breakdown"":""ك ذ ب"",""legacy_word_count"":282,""legacy_occurrence_count"":50,""legacy_row_id"":394,""romanization_sources"":{""original"":""k*b""}}"
039509461f81e21572915cab7f2bdc7d45b7f375353cb11c9c158fe4e9af9022,root|hn*,حنذ,Hn*,ح   ن   ذ,h-n-*,Hn*,"[""h-n-*"", ""H-N-*"", ""hn*"", ""HN*""]",حنذ hn* h-n-* ح   ن   ذ,active,,,2026-01-23T06:07:09.299184,,,"{""family"":""quran"",""root_copy"":""حنذ"",""letter_breakdown"":""ح   ن   ذ"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":403,""romanization_sources"":{""original"":""Hn*""}}"
8a94dc6c722c29950acb9f6d5157806d845c3e6eb36813c54f189ad99753bb82,root|j**,جذذ,j**,ج   ذ   ذ,j-*-*,j**,"[""j-*-*"", ""J-*-*"", ""j**"", ""J**""]",جذذ j** j-*-* ج   ذ   ذ,active,,,2026-01-23T06:07:09.300143,,,"{""family"":""quran"",""root_copy"":""جذذ"",""letter_breakdown"":""ج   ذ   ذ"",""legacy_word_count"":2,""legacy_occurrence_count"":2,""legacy_row_id"":489,""romanization_sources"":{""original"":""j**""}}"
665f7c5409cd4bdd3342791ea2dac95b20a3af4c08f33135bc59101a8647cec1,root|*ra,ذرا,*rA,ذ ر ا,*-r-a,*rA,"[""*-r-a"", ""*-R-A"", ""*ra"", ""*RA""]",ذرا *ra *-r-a ذ ر ا,active,,,2026-01-23T06:07:09.300500,,,"{""family"":""quran"",""root_copy"":""ذرا"",""letter_breakdown"":""ذ ر ا"",""legacy_word_count"":6,""legacy_occurrence_count"":4,""legacy_row_id"":521,""romanization_sources"":{""original"":""*rA""}}"
77dc5c9732ae307350417992efb8c2577b6a4548c3c8ea497a505938d8a3faa8,root|*b*b,ذبذب,*b*b,ذ ب ذ ب,*-b-*-b,*b*b,"[""*-b-*-b"", ""*-B-*-B"", ""*b*b"", ""*B*B""]",ذبذب *b*b *-b-*-b ذ ب ذ ب,active,,,2026-01-23T06:07:09.300974,,,"{""family"":""quran"",""root_copy"":""ذبذب"",""letter_breakdown"":""ذ ب ذ ب"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":563,""romanization_sources"":{""original"":""*b*b""}}"
a576ab5f745cd29136f4c54ee2261e37253bcdc7c95a7a2c3a8f1adf09095258,root|j*e,جذع,j*E,ج   ذ   ع,j-*-e,j*E,"[""j-*-e"", ""J-*-E"", ""j*e"", ""J*E""]",جذع j*e j-*-e ج   ذ   ع,active,,,2026-01-23T06:07:09.302111,,,"{""family"":""quran"",""root_copy"":""جذع"",""letter_breakdown"":""ج   ذ   ع"",""legacy_word_count"":3,""legacy_occurrence_count"":3,""legacy_row_id"":655,""romanization_sources"":{""original"":""j*E""}}"
0027f53fe4bc937bc0c8eccd4882a5e7a267bb0ba902d0fc9baa1192e0b4b14c,root|n*r,نذر,n*r,ن ذ ر,n-*-r,n*r,"[""n-*-r"", ""N-*-R"", ""n*r"", ""N*R""]",نذر n*r n-*-r ن ذ ر,active,,,2026-01-23T06:07:09.302133,,,"{""family"":""quran"",""root_copy"":""نذر"",""letter_breakdown"":""ن ذ ر"",""legacy_word_count"":130,""legacy_occurrence_count"":42,""legacy_row_id"":657,""romanization_sources"":{""original"":""n*r""}}"
04f644daad844494974cd9f865f258f86af8eab12383ba978f2e5c2c4e54a874,root|x*l,خذل,x*l,خ ذ ل,x-*-l,x*l,"[""x-*-l"", ""X-*-L"", ""x*l"", ""X*L""]",خذل x*l x-*-l خ ذ ل,active,,,2026-01-23T06:07:09.302952,,,"{""family"":""quran"",""root_copy"":""خذل"",""letter_breakdown"":""خ ذ ل"",""legacy_word_count"":3,""legacy_occurrence_count"":3,""legacy_row_id"":728,""romanization_sources"":{""original"":""x*l""}}"
b9a1093ec5447ee31c45c154c6bdf72efd5cd916ac60e0327f4a58e230001e95,root|*kr,ذكر,*kr,ذ ك ر,*-k-r,*kr,"[""*-k-r"", ""*-K-R"", ""*kr"", ""*KR""]",ذكر *kr *-k-r ذ ك ر,active,,,2026-01-23T06:07:09.303041,,,"{""family"":""quran"",""root_copy"":""ذكر"",""letter_breakdown"":""ذ ك ر"",""legacy_word_count"":292,""legacy_occurrence_count"":81,""legacy_row_id"":736,""romanization_sources"":{""original"":""*kr""}}"
5ed913df9114e5f1b54ff88804346f25847220b16b2e1d3b769b5e906280c677,root|*wd,ذود,*wd,ذ و د,*-w-d,*wd,"[""*-w-d"", ""*-W-D"", ""*wd"", ""*WD""]",ذود *wd *-w-d ذ و د,active,,,2026-01-23T06:07:09.303359,,,"{""family"":""quran"",""root_copy"":""ذود"",""letter_breakdown"":""ذ و د"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":763,""romanization_sources"":{""original"":""*wd""}}"
a11ff8019930c7ba7fe8ae72bc1834dc48e2f2079d3572607635d3786a5d96ce,root|a*y,اذي,A*y,ا   ذ   ي,a-*-y,A*y,"[""a-*-y"", ""A-*-Y"", ""a*y"", ""A*Y""]",اذي a*y a-*-y ا   ذ   ي,active,,,2026-01-23T06:07:09.303402,,,"{""family"":""quran"",""root_copy"":""اذي"",""letter_breakdown"":""ا   ذ   ي"",""legacy_word_count"":24,""legacy_occurrence_count"":14,""legacy_row_id"":767,""romanization_sources"":{""original"":""A*y""}}"
76aa56714b55aa3212844dfe850d299721373f021b6241df25a7e9657de153b8,root|*qn,ذقن,*qn,ذ ق ن,*-q-n,*qn,"[""*-q-n"", ""*-Q-N"", ""*qn"", ""*QN""]",ذقن *qn *-q-n ذ ق ن,active,,,2026-01-23T06:07:09.303612,,,"{""family"":""quran"",""root_copy"":""ذقن"",""letter_breakdown"":""ذ ق ن"",""legacy_word_count"":3,""legacy_occurrence_count"":2,""legacy_row_id"":786,""romanization_sources"":{""original"":""*qn""}}"
c62e5b7c9169f75f7ab8359218bdba5eb2b26031e1b1041cca36886de7fd97fb,root|*ab,ذاب,*Ab,ذ   ا   ب,*-a-b,*Ab,"[""*-a-b"", ""*-A-B"", ""*ab"", ""*AB""]",ذاب *ab *-a-b ذ   ا   ب,active,,,2026-01-23T06:07:09.303666,,,"{""family"":""quran"",""root_copy"":""ذاب"",""letter_breakdown"":""ذ   ا   ب"",""legacy_word_count"":3,""legacy_occurrence_count"":1,""legacy_row_id"":791,""romanization_sources"":{""original"":""*Ab""}}"
ac5ee47118154647d58bf9c086023727ae086b4b8f11c235438da3a596968229,root|w*r,وذر,w*r,و   ذ   ر,w-*-r,w*r,"[""w-*-r"", ""W-*-R"", ""w*r"", ""W*R""]",وذر w*r w-*-r و   ذ   ر,active,,,2026-01-23T06:07:09.304046,,,"{""family"":""quran"",""root_copy"":""وذر"",""letter_breakdown"":""و   ذ   ر"",""legacy_word_count"":45,""legacy_occurrence_count"":27,""legacy_row_id"":825,""romanization_sources"":{""original"":""w*r""}}"
1df73373a282fac95949d70b555ad7f8b90fd69588f5755e5f81ce465be96f18,root|*wq,ذوق,*wq,ذ   و   ق,*-w-q,*wq,"[""*-w-q"", ""*-W-Q"", ""*wq"", ""*WQ""]",ذوق *wq *-w-q ذ   و   ق,active,,,2026-01-23T06:07:09.304278,,,"{""family"":""quran"",""root_copy"":""ذوق"",""letter_breakdown"":""ذ   و   ق"",""legacy_word_count"":63,""legacy_occurrence_count"":33,""legacy_row_id"":846,""romanization_sources"":{""original"":""*wq""}}"
7d53a74d246b1e2d50b4910f4833e4113ff7ded8b1039a4e13b50d64c117601b,root|*rr,ذرر,*rr,ذ   ر   ر,*-r-r,*rr,"[""*-r-r"", ""*-R-R"", ""*rr"", ""*RR""]",ذرر *rr *-r-r ذ   ر   ر,active,,,2026-01-23T06:07:09.304509,,,"{""family"":""quran"",""root_copy"":""ذرر"",""letter_breakdown"":""ذ   ر   ر"",""legacy_word_count"":38,""legacy_occurrence_count"":12,""legacy_row_id"":867,""romanization_sources"":{""original"":""*rr""}}"
3bbbe5718288d62fa77c605f8886cc8e79af91135e01554464c93480a583a7e3,root|nq*,نقذ,nq*,ن ق ذ,n-q-*,nq*,"[""n-q-*"", ""N-Q-*"", ""nq*"", ""NQ*""]",نقذ nq* n-q-* ن ق ذ,active,,,2026-01-23T06:07:09.305748,,,"{""family"":""quran"",""root_copy"":""نقذ"",""letter_breakdown"":""ن ق ذ"",""legacy_word_count"":5,""legacy_occurrence_count"":4,""legacy_row_id"":968,""romanization_sources"":{""original"":""nq*""}}"
55039de8fe77b6c033142d26415bbae62106ebf2c6a86808e6bdb119d2d62f37,root|*hl,ذهل,*hl,ذ ه ل,*-h-l,*hl,"[""*-h-l"", ""*-H-L"", ""*hl"", ""*HL""]",ذهل *hl *-h-l ذ ه ل,active,,,2026-01-23T06:07:09.306224,,,"{""family"":""quran"",""root_copy"":""ذهل"",""letter_breakdown"":""ذ ه ل"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":1010,""romanization_sources"":{""original"":""*hl""}}"
c940b6ff606df41fb8b4fad6e233d43c783925079e7b4c5b1aa2a83d9ea40e4b,root|*re,ذرع,*rE,ذ ر ع,*-r-e,*rE,"[""*-r-e"", ""*-R-E"", ""*re"", ""*RE""]",ذرع *re *-r-e ذ ر ع,active,,,2026-01-23T06:07:09.307118,,,"{""family"":""quran"",""root_copy"":""ذرع"",""letter_breakdown"":""ذ ر ع"",""legacy_word_count"":5,""legacy_occurrence_count"":4,""legacy_row_id"":1088,""romanization_sources"":{""original"":""*rE""}}"
5d0992d0c2c9f63aaca4bf906b19590aa14ea1870cca963627242ce69773cae4,root|ew*,عوذ,Ew*,ع   و   ذ,e-w-*,Ew*,"[""e-w-*"", ""E-W-*"", ""ew*"", ""EW*""]",عوذ ew* e-w-* ع   و   ذ,active,,,2026-01-23T06:07:09.307174,,,"{""family"":""quran"",""root_copy"":""عوذ"",""letter_breakdown"":""ع   و   ذ"",""legacy_word_count"":17,""legacy_occurrence_count"":7,""legacy_row_id"":1093,""romanization_sources"":{""original"":""Ew*""}}"
b135a8306aa684bc99ef4351d003a7bb529aff9980de731c4aa42e683a8a493f,root|*ye,ذيع,*yE,ذ   ي   ع,*-y-e,*yE,"[""*-y-e"", ""*-Y-E"", ""*ye"", ""*YE""]",ذيع *ye *-y-e ذ   ي   ع,active,,,2026-01-23T06:07:09.307513,,,"{""family"":""quran"",""root_copy"":""ذيع"",""letter_breakdown"":""ذ   ي   ع"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":1124,""romanization_sources"":{""original"":""*yE""}}"
092c8310c9cb180f97a40eb3d9d07bbdc23905e8f487dcd5b73f6a2ba1ef83b5,root|l**,لذذ,l**,ل   ذ   ذ,l-*-*,l**,"[""l-*-*"", ""L-*-*"", ""l**"", ""L**""]",لذذ l** l-*-* ل   ذ   ذ,active,,,2026-01-23T06:07:09.307578,,,"{""family"":""quran"",""root_copy"":""لذذ"",""letter_breakdown"":""ل   ذ   ذ"",""legacy_word_count"":3,""legacy_occurrence_count"":2,""legacy_row_id"":1129,""romanization_sources"":{""original"":""l**""}}"
5b276f5ab29e597d665ccd1df9038ddd0712b57c1b262b7f790e2d811c2394f8,root|*hb,ذهب,*hb,ذ ه ب,*-h-b,*hb,"[""*-h-b"", ""*-H-B"", ""*hb"", ""*HB""]",ذهب *hb *-h-b ذ ه ب,active,,,2026-01-23T06:07:09.307665,,,"{""family"":""quran"",""root_copy"":""ذهب"",""letter_breakdown"":""ذ ه ب"",""legacy_word_count"":56,""legacy_occurrence_count"":30,""legacy_row_id"":1137,""romanization_sources"":{""original"":""*hb""}}"
c76a7e9c66fa2e36ba047ce9f5295be421ce59b508047c59e009cc25edf0cfc7,root|*bh,ذبح,*bH,ذ ب ح,*-b-h,*bH,"[""*-b-h"", ""*-B-H"", ""*bh"", ""*BH""]",ذبح *bh *-b-h ذ ب ح,active,,,2026-01-23T06:07:09.308017,,,"{""family"":""quran"",""root_copy"":""ذبح"",""letter_breakdown"":""ذ ب ح"",""legacy_word_count"":9,""legacy_occurrence_count"":9,""legacy_row_id"":1169,""romanization_sources"":{""original"":""*bH""}}"
564a5aad34320c6ad546a7a1d2b52ceef6841e31a8c2b91e08db1d7454d0a6cf,root|ax*,اخذ,Ax*,ا خ ذ,a-x-*,Ax*,"[""a-x-*"", ""A-X-*"", ""ax*"", ""AX*""]",اخذ ax* a-x-* ا خ ذ,active,,,2026-01-23T06:07:09.308167,,,"{""family"":""quran"",""root_copy"":""اخذ"",""letter_breakdown"":""ا خ ذ"",""legacy_word_count"":273,""legacy_occurrence_count"":116,""legacy_row_id"":1182,""romanization_sources"":{""original"":""Ax*""}}"
